Opportunity Category,Gender,Country,Institution Name,Current/Intended Major,Status Description,SignUp_Year,SignUp_Month,SignUp_Day,Age,Opportunity_Duration,Churn
Course,1,United States,Saint Louis University,Occupational Therapy,Started,2023,6,29,20,468,1
Course,2,Kenya,Saint Louis University-Main Campus,Supply Chain Management,Team Allocated,2024,2,13,33,468,1
Course,1,India,Jain University,Other,Started,2023,6,6,21,468,1
Course,2,India,Sce Supaul,Civil Engineering,Team Allocated,2023,12,21,22,468,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,29,25,468,1
Course,1,India,Cmr Institute Of Technology Hyderabad,Computer Science,Team Allocated,2023,1,20,25,468,1
Course,1,Canada,Anand Niketan,Other,Team Allocated,2023,6,25,20,468,1
Course,1,Ghana,Kwame Nkrumah University Of Science And Technology,Agriculture and Forestry,Team Allocated,2023,8,10,25,468,1
Course,2,Philippines,University Of Santo Tomas Senior High School,Biochemistry,Team Allocated,2023,6,9,20,468,1
Course,1,Uganda,Makerere University,Statistics and Operational Research,Started,2023,6,16,25,468,1
Course,1,Nigeria,National Open University  Nigeria,Non,Started,2023,6,27,35,468,1
Course,2,United States,Saint Louis University,MASTERS in INFORMATION SYSTEMS,Team Allocated,2023,10,14,24,468,1
Course,1,India,Anurag Group Of Institutions,Other,Team Allocated,2023,5,24,34,468,1
Course,2,Nigeria,Federal University Of Tecnology Owerri  Imo Nigeria,Manufacturing Engineering,Team Allocated,2023,10,19,40,468,1
Course,2,Gambia,Gambia High School,Computer Engineering,Started,2023,3,17,23,468,1
Course,1,India,Saint Louis University,Information Systems,Rewards Award,2023,5,3,24,468,1
Course,1,Nigeria,Saint Louis University,Aviation Management,Started,2023,5,23,21,468,1
Course,2,United States,Saint Louis University,Information Systems,Waitlisted,2023,12,20,23,604,1
Course,2,Saudi Arabia,Jeddah Knowledge International School,Computer Science,Started,2023,3,9,19,468,1
Course,2,Pakistan,National University Of Modern Languages Islamabad  Pakistan,Data Science and Artificial Intelligence,Started,2023,3,18,23,468,1
Course,1,Nigeria,Michael Okpara University Of Agriculture,Entrepreneurship Studies,Team Allocated,2023,10,25,18,468,1
Course,0,Nigeria,University Of Nigeria,Medical Laboratory Science,Team Allocated,2024,2,29,25,468,1
Course,1,United States,Saint Louis University,Business Analytics,Started,2023,6,23,32,468,1
Course,1,Korea,,,,,,,,,
Course,2,United States,Saint Louis University,Masters in Information Systems,Waitlisted,2023,12,29,23,604,1
Course,1,India,Sn,Dentistry,Started,2023,6,14,26,468,1
Course,2,United States,Saint Louis University,Medicine,Started,2023,5,16,20,468,1
Course,1,Kenya,Kenyatta University,Psychology,Team Allocated,2023,8,5,24,468,1
Course,2,Nigeria,Enugu State University,Information technology,Started,2023,6,3,49,468,1
Course,2,Ghana,University Of Ghana,Economics,Team Allocated,2023,7,28,26,468,1
Course,1,Nigeria,Olabisi Onabanjo University,Health Education,Team Allocated,2023,7,21,24,468,1
Course,1,United States,St Louis University,Information Systems,Team Allocated,2023,10,24,22,468,1
Course,1,Nigeria,Abia State University  Uturu.,Mass Communication,Started,2023,6,16,24,468,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,3,25,468,1
Course,2,India,Cmr Engineering College,Computer Science,Team Allocated,2023,9,11,22,468,1
Course,2,Nigeria,University Of Maiduguri,Public Administration,Team Allocated,2023,8,14,27,468,1
Course,1,India,Lokmanya Tilak College Of Engineering,Computer Science,Team Allocated,2023,7,31,25,468,1
Course,1,Vietnam,Hanoi Medical University,Public Health,Team Allocated,2023,7,10,27,468,1
Course,1,United States,Johns Creek High School,Information technology,Started,2023,3,31,18,468,1
Course,0,India,Cmr,Chemistry,Started,2023,6,7,26,468,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,16,25,468,1
Course,2,India,Saint Louis University,Computer Science,Team Allocated,2023,6,17,26,468,1
Course,1,Nigeria,Covenant University,Microbiology,Team Allocated,2023,7,6,28,468,1
Course,2,India,Reva University,Biochemistry,Team Allocated,2023,7,8,25,468,1
Course,2,India,Cmrit,Software Engineering,Waitlisted,2023,1,5,29,604,1
Course,1,United States,Saint Louis University,Biology,Started,2023,6,4,20,468,1
Course,2,India,Vishnu Institute Of Technology,Information Systems,Team Allocated,2023,4,30,24,468,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2024,2,6,25,468,1
Course,1,United States,Saint Louis University,Analytics,Waitlisted,2023,12,19,26,604,1
Course,2,United States,Saint Louis University,Analytics,Team Allocated,2023,6,16,25,468,1
Course,1,India,Dps Dwarka,Business Administration,Team Allocated,2023,5,31,18,468,1
Course,2,Pakistan,Nust,Environmental Sciences,Team Allocated,2023,8,14,41,468,1
Course,1,United States,Saint Louis University,Data Analytics,Waitlisted,2023,5,12,26,604,1
Course,1,Pakistan,Sadiq Public School,Medicine,Started,2023,5,26,19,468,1
Course,1,Ethiopia,Lideta Catholic Cathedral School,Computer Science,Team Allocated,2024,3,5,19,468,1
Course,2,Indonesia,Universitas Trunojoyo Madura,Law and Legal Studies,Team Allocated,2023,9,3,26,468,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,10,3,25,468,1
Course,1,United States,Saint Louis University,Medical Laboratory Science,Started,2023,5,17,20,468,1
Course,1,United States,Acellus Academy,American Sign Language Interpretation,Started,2023,5,27,20,468,1
Course,2,Nigeria,School For The Gifted,Radiography,Team Allocated,2023,9,1,17,468,1
Course,2,India,Tuljaram Chaturchand College Of Art And Science And Commerce,Other,Started,2023,6,26,29,468,1
Course,1,United States,Saint Louis University,Biomedical Engineering,Team Allocated,2023,6,14,21,468,1
Course,2,India,Vellore Institute Of Technology Bhopal,Computer Science and Engineering,Team Allocated,2023,7,18,21,468,1
Course,2,United States,Saint Louis University,Computer Science,Started,2023,4,28,29,468,1
Course,1,United States,Santa Fe College,International Business Management,Waitlisted,2024,1,23,20,604,1
Course,2,Nigeria,Federal University Of Technology Owerri,Data Analysis,Team Allocated,2023,7,6,31,468,1
Course,2,Ghana,Valley View University,Computer Science,Team Allocated,2023,5,23,25,468,1
Event,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,8,18,25,-7,1
Event,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,4,17,24,-7,1
Event,2,India,Vignan'S Lara Institute Of Technology & Science,Information Systems,Applied,2023,2,23,24,536,1
Event,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,25,24,-7,1
Event,2,United States,Gm Institute Of Technology,Computer Science,Team Allocated,2023,7,9,24,-7,1
Event,2,India,Vishnu Institute Of Technology,Computer Science and Information Systems,Team Allocated,2023,4,30,25,-7,1
Event,1,India,Kodada Institute Of Technology & Science For Women,Information Systems,Team Allocated,2023,5,22,27,-7,1
Event,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,6,4,27,-7,1
Event,2,India,Aliah University,Cyber Security,Team Allocated,2023,2,24,28,-7,1
Event,1,United States,Saint Louis University,Computer Science,Team Allocated,2023,8,18,25,-7,1
Event,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,6,25,23,-7,1
Event,2,India,Saint Louis University,Computer Science,Team Allocated,2023,4,24,27,-7,1
Event,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,4,22,24,-7,1
Event,2,India,Saint Louis University,Artificial Intelligence,Team Allocated,2023,5,4,24,-7,1
Event,2,United States,Saint Louis University,Supply Chain Management,Team Allocated,2023,4,26,33,-7,1
Event,2,India,Srm Institute Of Science And Technology,Computer Science,Team Allocated,2023,4,26,26,-7,1
Event,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,4,23,24,-7,1
Event,1,India,Saint Lious University,Computer Science,Team Allocated,2023,5,27,24,-7,1
Event,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,10,3,25,-7,1
Event,2,India,Jawaharlal Nehru Technological Universities Vizianagaram,Cyber Security,Team Allocated,2023,7,9,25,-7,1
Event,2,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,5,17,24,-7,1
Event,2,India,Saint Louis University,Computer Science,Team Allocated,2023,3,2,24,-7,1
Event,2,United States,Saint Louis University,Artificial Intelligence,Team Allocated,2023,8,25,26,-7,1
Event,2,India,Saint Louis University,Information Systems,Team Allocated,2023,4,25,24,-7,1
Event,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,7,9,34,-7,1
Event,2,India,Vishnu Institute Of Technology,Information Systems,Team Allocated,2023,4,30,26,-7,1
Event,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,6,16,28,-7,1
Event,2,India,Vignan'S Lara Institute Of Technology And Science,Computer Information Systems,Team Allocated,2023,6,27,23,-7,1
Event,2,India,Vishnu Institute Of Technology,Computer Science,Team Allocated,2023,4,30,24,-7,1
Event,1,Ghana,Middlesex University,Information technology,Team Allocated,2023,6,15,47,-7,1
Event,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,8,23,23,-7,1
Event,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,6,9,25,-7,1
Event,2,India,Saint Louis University,Computer Science,Team Allocated,2023,6,7,23,-7,1
Event,2,India,Saint Louis University,Information Systems,Team Allocated,2023,2,24,24,-7,1
Event,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,17,24,-7,1
Event,2,India,Vardhaman College Of Engineering,Information technology,Applied,2023,1,7,23,536,1
Event,2,India,Sastra University,Information Systems,Team Allocated,2023,2,24,25,-7,1
Event,1,India,Saint Louis University,Public Health,Team Allocated,2023,6,6,31,-7,1
Event,1,India,Vemana Institute Of Technology,Computer Science,Team Allocated,2023,7,19,22,-7,1
Event,2,Turkey,İstanbul Bilgi University,International Business Management,Team Allocated,2023,8,7,29,-7,1
Event,2,United States,Saint Louis University,Computer Science,Applied,2023,7,9,25,536,1
Course,2,United States,Creighton University,Other,Team Allocated,2023,5,22,57,913,1
Course,2,United States,V R Siddhartha Engineering College,Information Systems,Team Allocated,2023,8,4,24,913,1
Course,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,8,25,25,913,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,25,24,913,1
Course,1,India,Kodada Institute Of Technology & Science For Women,Information Systems,Started,2023,5,22,27,913,1
Course,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,6,4,27,913,1
Course,2,India,Saint Louis University,Computer Science,Started,2023,4,24,27,913,1
Course,2,India,Saint Louis University,Artificial Intelligence,Team Allocated,2023,5,4,24,913,1
Course,2,India,Saint Louis University,Computer Science,Team Allocated,2023,6,24,25,913,1
Course,2,United States,Saint Louis University,Supply Chain Management,Team Allocated,2023,4,26,33,913,1
Course,2,United States,Saint Louis University,Information Systems,Started,2023,4,23,24,913,1
Course,1,India,Saint Lious University,Computer Science,Team Allocated,2023,5,27,24,913,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,10,3,25,913,1
Course,2,India,Jawaharlal Nehru Technological Universities Vizianagaram,Cyber Security,Team Allocated,2023,7,9,25,913,1
Course,2,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,5,17,24,913,1
Course,2,India,Saint Louis University,Computer Science,Team Allocated,2023,3,2,24,913,1
Course,1,India,Saint Louis University,Business Analytics,Team Allocated,2023,4,25,23,913,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,4,25,24,913,1
Course,2,United States,Saint Louis University,Software Engineering,Team Allocated,2023,1,5,27,913,1
Course,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,7,9,34,913,1
Course,2,India,Vishnu Institute Of Technology,Information Systems,Started,2023,4,30,26,913,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,6,16,28,913,1
Course,1,India,Ashoka,Psychology,Team Allocated,2023,3,12,15,913,1
Course,2,India,Vignan'S Lara Institute Of Technology And Science,Computer Information Systems,Team Allocated,2023,6,27,23,913,1
Course,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,8,23,23,913,1
Course,2,India,Saint Louis University,Computer Science,Team Allocated,2023,6,7,23,913,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,17,24,913,1
Course,1,United States,Saint Louis University,Epidemiology,Team Allocated,2023,8,8,35,913,1
Course,1,India,Saint Louis University,Public Health,Team Allocated,2023,6,6,31,913,1
Course,1,India,Vemana Institute Of Technology,Computer Science,Team Allocated,2023,7,19,22,913,1
Course,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,7,9,25,913,1
Engagement,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,8,18,25,837,1
Engagement,2,India,Gitam University,Computer Science and Information Systems,Team Allocated,2023,2,23,25,837,1
Engagement,2,India,Jntuhceh,Information Systems,Team Allocated,2023,7,9,27,837,1
Engagement,2,United States,Creighton University,Other,Team Allocated,2023,5,22,57,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,8,25,837,1
Engagement,2,United States,Jntu,Project Management,Team Allocated,2023,7,9,32,837,1
Engagement,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,9,2,26,837,1
Engagement,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,8,25,25,837,1
Engagement,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,4,17,24,837,1
Engagement,2,India,Saint Louis University,Supply Chain Management,Team Allocated,2023,7,25,31,837,1
Engagement,2,India,Vignan'S Lara Institute Of Technology & Science,Information Systems,Applied,2023,2,23,24,1127,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,2,27,25,837,1
Engagement,1,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,1,5,25,837,1
Engagement,2,India,Saint Louis University,Computer Science,Team Allocated,2023,8,10,24,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,25,24,837,1
Engagement,2,United States,Gm Institute Of Technology,Computer Science,Team Allocated,2023,7,9,24,837,1
Engagement,2,India,Vishnu Institute Of Technology,Computer Science and Information Systems,Team Allocated,2023,4,30,25,837,1
Engagement,2,United States,Saint Louis University,Business Analytics,Team Allocated,2023,12,7,24,837,1
Engagement,2,India,Gayatri Vidya Parishad College Of Engineeirng,Information technology,Team Allocated,2023,6,26,25,837,1
Engagement,1,India,Kodada Institute Of Technology & Science For Women,Information Systems,Team Allocated,2023,5,22,27,837,1
Engagement,2,India,Nizam Collage,Information Systems,Team Allocated,2023,7,28,31,837,1
Engagement,2,United States,Saint Louis University,Health Data Science,Team Allocated,2023,8,6,29,837,1
Engagement,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,6,4,27,837,1
Engagement,2,India,Aliah University,Cyber Security,Team Allocated,2023,2,24,28,837,1
Engagement,1,United States,Saint Louis University,Public Health,Team Allocated,2023,8,20,25,837,1
Engagement,1,United States,Saint Louis University,Computer Science,Team Allocated,2023,8,18,25,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,1,6,26,837,1
Engagement,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,6,25,23,837,1
Engagement,2,India,Saint Louis University,Computer Science,Team Allocated,2023,4,24,27,837,1
Engagement,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,3,30,837,1
Engagement,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,30,27,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,4,22,24,837,1
Engagement,2,Pakistan,Habibrehman529@Gmail.Com,Job,Team Allocated,2023,6,15,15,837,1
Engagement,2,India,Saint Louis University,Artificial Intelligence and Machine learning,Team Allocated,2023,5,17,24,837,1
Engagement,2,India,Vishnu Institute Of Technology,Information Systems,Team Allocated,2023,5,2,25,837,1
Engagement,2,United States,Saint Louis,MS Biostatistics and Health Analytics,Team Allocated,2023,8,24,29,837,1
Engagement,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,21,25,837,1
Engagement,2,India,Saint Louis University,Artificial Intelligence,Team Allocated,2023,5,4,24,837,1
Engagement,2,India,Icat Design And Media College,B Sc,Team Allocated,2023,6,1,24,837,1
Engagement,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,5,26,25,837,1
Engagement,2,India,Saint Louis University,Computer Science,Team Allocated,2023,6,24,25,837,1
Engagement,2,India,Aacharya Ng Ranga Agricultural University,Agriculture and Forestry,Team Allocated,2023,6,12,25,837,1
Engagement,1,United States,Saint Louis,Information Systems,Team Allocated,2023,8,28,24,837,1
Engagement,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,4,26,24,837,1
Engagement,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,8,3,28,837,1
Engagement,2,India,Srm Institute Of Science And Technology,Computer Science,Team Allocated,2023,4,26,26,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,4,23,24,837,1
Engagement,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,6,25,23,837,1
Engagement,1,India,Saint Lious University,Computer Science,Team Allocated,2023,5,27,24,837,1
Engagement,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,10,3,25,837,1
Engagement,2,India,Jawaharlal Nehru Technological Universities Vizianagaram,Cyber Security,Team Allocated,2023,7,9,25,837,1
Engagement,1,United States,Vignan’S Foundation For Science Research And Technology,Information Systems,Team Allocated,2023,5,19,23,837,1
Engagement,1,India,Pacific Academy Of Higher Education And Research,Health Data Science,Team Allocated,2023,3,6,27,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,7,25,25,837,1
Engagement,1,United States,Saint Louis University,Public Health,Team Allocated,2023,5,14,27,837,1
Engagement,2,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,5,17,24,837,1
Engagement,2,India,Saint Louis University,Computer Science,Team Allocated,2023,3,2,24,837,1
Engagement,1,India,Saint Louis,Information technology,Team Allocated,2023,6,1,24,837,1
Engagement,2,India,Jawaharlal Nehru Technological University  Hyderabad  India,Mechanical Engineering,Team Allocated,2023,3,7,31,837,1
Engagement,2,United States,Saint Louis University,Artificial Intelligence,Team Allocated,2023,8,25,26,837,1
Engagement,2,India,Saint Louis University,Information Systems,Team Allocated,2023,4,25,24,837,1
Engagement,2,United States,Saint Louis University,Software Engineering,Team Allocated,2023,1,5,27,837,1
Engagement,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,7,9,34,837,1
Engagement,2,India,Vishnu Institute Of Technology,Information Systems,Team Allocated,2023,4,30,26,837,1
Engagement,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,6,16,28,837,1
Engagement,1,India,Ashoka,Psychology,Team Allocated,2023,3,12,15,837,1
Engagement,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,7,21,23,837,1
Engagement,2,United States,Djr College Of Engineering And Technology,Information Systems,Team Allocated,2023,7,25,26,837,1
Engagement,2,India,Vignan'S Lara Institute Of Technology And Science,Computer Information Systems,Team Allocated,2023,6,27,23,837,1
Engagement,2,India,Vishnu Institute Of Technology,Computer Science,Team Allocated,2023,4,30,24,837,1
Engagement,1,India,Jntuacek,Computer Science,Team Allocated,2023,7,1,25,837,1
Engagement,2,India,Geethanjali College Of Engineering And Technology,Other,Team Allocated,2023,6,20,25,837,1
Engagement,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,23,25,837,1
Engagement,2,United States,Saint Louis University,Artificial Intelligence,Team Allocated,2023,7,25,27,837,1
Engagement,1,Ghana,Middlesex University,Information technology,Team Allocated,2023,6,15,47,837,1
Engagement,1,India,Raghu Engineering College,Computer Science,Applied,2023,7,9,25,1127,1
Engagement,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,8,23,23,837,1
Engagement,2,India,Sathyabama Institute Of Science And Technology,Computer Science,Team Allocated,2023,6,27,24,837,1
Engagement,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,6,9,25,837,1
Engagement,2,India,Saint Louis University,Computer Science,Team Allocated,2023,6,7,23,837,1
Engagement,2,India,Saint Louis University,Information Systems,Team Allocated,2023,2,24,24,837,1
Engagement,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,17,24,837,1
Engagement,2,India,Saint Louis University,Computer Science,Team Allocated,2023,3,18,25,837,1
Engagement,1,India,University Of Europe,Software Engineering,Team Allocated,2023,6,16,24,837,1
Engagement,1,United States,Saint Louis University,Epidemiology,Team Allocated,2023,8,8,35,837,1
Engagement,1,United States,Saint Louis University,Cyber Security,Team Allocated,2023,8,26,23,837,1
Engagement,2,India,Badruka College Of Commerce And Arts,Business Administration,Team Allocated,2023,4,24,23,837,1
Engagement,2,India,Vardhaman College Of Engineering,Information technology,Team Allocated,2023,1,7,23,837,1
Engagement,1,United States,Vignan'S Nirula Institute Of Technology And Science For Women.,Data Science and Artificial Intelligence,Applied,2023,5,25,23,1127,1
Engagement,2,India,Sastra University,Information Systems,Team Allocated,2023,2,24,25,837,1
Engagement,1,India,Saint Louis University,Public Health,Team Allocated,2023,6,6,31,837,1
Engagement,1,India,Anurag Group Of Institutions,Other,Team Allocated,2023,5,24,34,837,1
Engagement,1,India,Saint Louis University,Computer Science,Team Allocated,2023,5,16,25,837,1
Engagement,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,7,10,26,837,1
Engagement,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,8,7,23,837,1
Engagement,2,India,St Louis University,Computer Science,Team Allocated,2023,7,25,25,837,1
Engagement,2,United States,Saint Louis Univeristy,Artificial Intelligence,Team Allocated,2023,6,23,23,837,1
Engagement,1,India,St Louis University,Computer Science and Information Systems,Team Allocated,2023,5,19,27,837,1
